"tsc_tree_cover_loss_drivers__driver","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"Forestry",2012,7849189.470063662566293953,2877336180.1099053499784794
"Forestry",2013,5645632.698070840987424023,2170459793.8138762983481452
"Forestry",2014,6562047.738001250475001567,2650138804.23588373087782207
"Forestry",2015,6024959.400228675897320977,2588865114.9201389486787543
"Forestry",2016,8855163.732402145319048352,3674957803.6496624602648144
"Forestry",2017,8975417.587139000236367829,3800514969.4029145027492968
"Forestry",2018,7517148.249142464883361634,3300606348.8865594832056005
"Forestry",2019,7512256.527957331969197927,3155696463.1003154055192967
"Forestry",2020,7136236.135926042016395045,3048929998.6759003402321893
"Forestry",2021,7507082.740137965988293344,3499168238.4266220760472910
"Forestry",2022,6696487.940256411333575789,3142708318.6581496131743015
"Shifting agriculture",2001,3364435.128505941764333233,1524229782.51967796174862161
"Shifting agriculture",2002,3621322.949041803865121106,1681585421.6539037339412790
"Shifting agriculture",2003,2840312.435651368967664305,1258836191.90800348092019056
"Shifting agriculture",2004,3334274.679910771538380135,1544205914.5397840985677169
"Shifting agriculture",2005,3870243.293673255228226294,1825457488.4978920685956424
"Shifting agriculture",2006,3503781.793523651188545199,1637627157.6635965939943865
"Shifting agriculture",2007,3938102.855546336882931705,1821726501.9315122105117898
"Shifting agriculture",2008,3875587.204835078951986002,1774947217.7508584393438914
"Shifting agriculture",2009,4059516.286198915038433085,1949294941.1263582647694381
"Shifting agriculture",2010,4543536.992860616095907306,2220321903.9300290820592644
"Shifting agriculture",2011,3548625.919433575143392106,1704847314.6747357069464934
"Shifting agriculture",2012,4404263.150607841503478969,2156104297.7290079749284503
"Shifting agriculture",2013,4864941.377971217244443901,2428210326.5837127271115435
"Shifting agriculture",2014,6276748.272980334025850896,3207277850.4163104397914013
"Shifting agriculture",2015,4805783.020080716801499672,2514937556.3342293586401120
"Shifting agriculture",2016,8673664.654717566971920242,4746084062.0129302418496305
"Shifting agriculture",2017,8708256.957623830206720252,4632106718.0145755123616487
"Shifting agriculture",2018,6612106.308447400489753769,3612018036.8589809593402319
"Shifting agriculture",2019,6119667.218396961915627729,3375298062.0876559513877417
"Shifting agriculture",2020,6792488.714110153728780791,3763970610.2847471377372510
"Shifting agriculture",2021,5966862.801371072532761813,3365840205.2591249232189531
"Shifting agriculture",2022,5866863.355085727558834800,3402569698.0160278654412270
"Unknown",2001,163569.280033055780452424,47239439.60501814007427683
"Unknown",2002,138374.979852771173036225,40370345.01358748346340446
"Unknown",2003,92312.172019585063984566,28012784.50071298707621748
"Unknown",2004,155067.486926850970874040,45489960.57726190818446353
"Unknown",2005,129082.494339179625676477,39786016.2992085604967963
"Unknown",2006,137322.047114217697604978,41970506.83385728222815478
"Unknown",2007,138161.902311445975095097,44173634.9666651419877045
"Unknown",2008,141557.119649005590241455,45193805.32199661041798563
"Unknown",2009,148274.435999117640701824,49836347.2410362984238768
"Unknown",2010,154535.687549666051438667,52960680.3519451439485006
"Unknown",2011,138574.298484635377728104,48253697.3988918403126933
"Unknown",2012,227646.432250145106318796,84294317.41091083227432075
"Unknown",2013,149756.746859936078774045,50204726.8547659344133837
"Unknown",2014,136020.831595471271018128,52865678.7807306445496311
"Unknown",2015,68245.462163544124973794,27910995.6176017711835877
"Unknown",2016,115480.956591638511091456,45606903.8803389371994930
"Unknown",2017,122210.178990812359906433,50899998.5306213598024805
"Unknown",2018,94610.241760387948054067,38904384.0006088011776295
"Unknown",2019,103010.582873072123855015,42297739.3137032271055500
"Unknown",2020,121854.384450383068492012,49155250.7482897952753467
"Unknown",2021,113735.571210111653923753,49896773.2995976651745557
"Unknown",2022,120748.191246566880657262,55163833.6347119483526816
"Urbanization",2001,161825.041147502044795160,50946067.2595696532037537
"Urbanization",2002,167644.514798513274585341,57560242.1782702551408269
"Urbanization",2003,151464.130163843627036869,51419226.6930688241606217
"Urbanization",2004,199584.389916508808619645,67638329.9147073445526624
"Urbanization",2005,183451.196449533296661905,62932052.3823210647217402
"Urbanization",2006,198398.399223923006343877,69298180.6468041997580483
"Urbanization",2007,195374.600198660757018061,70395141.4069809300652247
"Urbanization",2008,161972.596327398145483933,61037748.0392282139246333
"Urbanization",2009,137541.105907294738992285,52173335.4189833788977459
"Urbanization",2010,127910.325979829562230265,50004123.4893114716223833
"Urbanization",2011,114575.608901458103308976,46192067.3631437233016499
"Urbanization",2012,148225.756677750317480059,60235502.9054737858333456
"Urbanization",2013,116136.765753480980557046,49298158.479123704059066
"Urbanization",2014,137104.883608472764130330,57921732.072242895285673
"Urbanization",2015,130743.205467895000928931,57117695.3964702284161435
"Urbanization",2016,198184.129880271492084039,92588687.2995075796368788
"Urbanization",2017,224993.704502983708092621,97817804.3736943412345725
"Urbanization",2018,192791.149352943597009442,88862694.9632679073681693
"Urbanization",2019,159069.638091993147216511,72464851.1071942835700875
"Urbanization",2020,151706.785553531582847381,69778020.9158550039703533
"Urbanization",2021,145549.952142995562268484,71599767.3276628260422672
"Urbanization",2022,136142.442269811795132795,72302290.4466748659641425
"Wildfire",2001,1963905.151974340435988987,389779529.62171486523580394
"Wildfire",2002,3807689.995032778609574840,786880052.4032458913202375
"Wildfire",2003,3374061.559183015662750120,603501748.8393893890482893
"Wildfire",2004,4410648.701163785079410044,964319754.64185224495913427
"Wildfire",2005,3213314.455581296589889091,840239622.55312002253119673
"Wildfire",2006,3314048.255203960099009193,797877672.2980691855705447
"Wildfire",2007,2805924.494495359270543288,702859133.2398761192270352
"Wildfire",2008,3181493.560384398065775369,758377449.5915911671452724
"Wildfire",2009,2219709.030254442690988876,497948463.5119460465017244
"Wildfire",2010,2817897.828486716502687984,714779666.7720703106851974
"Wildfire",2011,3034007.963685180226746900,848322330.9495150845105714
"Wildfire",2012,5035126.832172048860248911,1225667420.3252210463256436
"Wildfire",2013,6202273.522205225428804694,1411066388.4582540280572647
"Wildfire",2014,5345598.542050671472534376,1233628164.7778065102122738
"Wildfire",2015,3986086.914852378259290760,1097836715.2006952516403345
"Wildfire",2016,4607482.169334982524328302,879925719.0550913539533686
"Wildfire",2017,5445114.616835853983711483,1297985478.7599962707365997
"Wildfire",2018,5676881.390296126866202427,1279691261.562238078608423
"Wildfire",2019,5219504.449428666835336692,1064548976.7815103973480859
"Wildfire",2020,6846897.052106900103855737,1212048183.6812925891757645
"Wildfire",2021,7019093.333162829100410534,1255745349.9194240815974999
"Wildfire",2022,5224176.147626445819505854,1094317764.7103155275598099
